# Header: 
#   Title                 : 94-PU-239 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : H.Derrien 
#   Institute             : (2FR SAC): CEA/Saclay 
#   Reference             : (T,DERRIEN,7311) 
#   Year                  : 1973 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 94 
#   A                     : 239 
#   Nuclide               : 94-PU-239 
# Reaction: 
#   entry-subent-pointer  :['20445-005-3' '20445-005-4'] 
#   EXFOR reaction        :['(94-PU-239(N,TOT),,WID)' '(94-PU-239(N,G),,WID)'] 
#   incident energy       : 7.8200e+00 eV - 6.5829e+02 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/204/20445.x4 
#   nds                   : https://nds.iaea.org/EXFOR/20445
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 3.5999E+02        NAN        NAN        0.0 1.1400E-01 2.0000E-02 3.2000E-02        NAN        NAN        NAN        NAN        NAN
 3.6128E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6600E+02        NAN        NAN        0.0 5.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.6833E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7031E+02        NAN        NAN        0.0 1.0500E-01 2.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 3.7172E+02        NAN        NAN        0.0 3.4000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.7502E+02        NAN        NAN        0.0 4.3000E-02 1.2000E-02 2.9000E-02 1.0000E-02        NAN        NAN        NAN        NAN
 3.7710E+02        NAN        NAN        0.0 1.0000E-01 2.0000E-02 5.8000E-02        NAN        NAN        NAN        NAN        NAN
 3.7804E+02        NAN        NAN        0.0 2.2300E-01 6.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 3.8243E+02        NAN        NAN        0.0 1.3000E-01        NAN 4.2000E-02        NAN        NAN        NAN        NAN        NAN
 3.8426E+02        NAN        NAN        0.0 1.0900E-01 3.0000E-02 2.8000E-02 1.7000E-02        NAN        NAN        NAN        NAN
 3.8590E+02        NAN        NAN        0.0 1.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 3.8951E+02        NAN        NAN        0.0 7.4000E-02 1.4000E-02 5.1000E-02        NAN        NAN        NAN        NAN        NAN
 3.9152E+02        NAN        NAN        0.0 1.4200E-01 2.8000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 3.9443E+02        NAN        NAN        0.0 1.0600E-01 1.3000E-02 4.8000E-02 1.2000E-02        NAN        NAN        NAN        NAN
 3.9691E+02        NAN        NAN        0.0 1.0800E-01 2.0000E-02 4.4000E-02        NAN        NAN        NAN        NAN        NAN
 4.0156E+02        NAN        NAN        0.0 2.2000E-01 2.0000E-02 4.6000E-02 1.8000E-02        NAN        NAN        NAN        NAN
 4.0424E+02        NAN        NAN        0.0 1.5500E-01 2.5000E-02 5.6000E-02 1.4000E-02        NAN        NAN        NAN        NAN
 4.0603E+02        NAN        NAN        0.0 3.2000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.0695E+02        NAN        NAN        0.0 3.3000E-01        NAN 2.7000E-02        NAN        NAN        NAN        NAN        NAN
 4.0871E+02        NAN        NAN        0.0 1.5000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.1231E+02        NAN        NAN        0.0 1.4500E-01 1.5000E-02 6.6000E-02 1.7000E-02        NAN        NAN        NAN        NAN
 4.1566E+02        NAN        NAN        0.0 1.5200E-01 3.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 4.1760E+02        NAN        NAN        0.0 2.6700E-01 6.4000E-02 5.9000E-02 2.2000E-02        NAN        NAN        NAN        NAN
 4.1985E+02        NAN        NAN        0.0 1.3900E-01 2.5000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 4.2567E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.2637E+02        NAN        NAN        0.0 7.0000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.2964E+02        NAN        NAN        0.0 7.8000E-01        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.3129E+02        NAN        NAN        0.0 3.5000E+00        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.3273E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.3776E+02        NAN        NAN        0.0 6.2000E-02 1.5000E-02 4.9000E-02 1.5000E-02        NAN        NAN        NAN        NAN
 4.3872E+02        NAN        NAN        0.0 6.1000E-02 1.5000E-02 5.5000E-02        NAN        NAN        NAN        NAN        NAN
 4.4007E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.4241E+02        NAN        NAN        0.0 4.2200E-01 5.0000E-02        NAN        NAN        NAN        NAN        NAN        NAN
 4.4975E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.5135E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.5445E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.5573E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.5733E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.5880E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.6126E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.6264E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.6820E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7000E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
 4.7310E+02        NAN        NAN        0.0        NAN        NAN        NAN        NAN        NAN        NAN        NAN        NAN
