# Header: 
#   Title                 : 72-HF-177 Resonance Parameter: WID 
#   Source                : EXFOR 
#   Date Created          : 2025-08-14 
# EXFOR Bibliographic Information: 
#   First Author          : G.Rohr 
#   Institute             : (2ZZZGEL): EC Joint Research Centre (EC-JRC), Geel 
#   Reference             : (J,NP/A,264,93,7606) 
#   Year                  : 1976 
#   Facility              : (LINAC): Linear accelerator 
# Target: 
#   Z                     : 72 
#   A                     : 177 
#   Nuclide               : 72-HF-177 
# Reaction: 
#   entry-subent-pointer  :['21297-002-2' '21297-002-3'] 
#   EXFOR reaction        :['(72-HF-177(N,EL),,WID)' '(72-HF-177(N,G),,WID)'] 
#   incident energy       : 1.0950e-05 eV - 2.9974e-04 eV 
# Links: 
#   git                   : https://github.com/IAEA-NDS/exfor_master/blob/main/exforall/212/21297.x4 
#   nds                   : https://nds.iaea.org/EXFOR/21297
#
# E_in(eV)   dE_in(eV)          J          L     (N,TOT)  d(N,TOT)      (N,G)     d(N,G)      (N,EL)   d(N,EL)       (N,F)     d(N,F)
 2.2680E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.0150E-02 9.7000E-04        NAN        NAN
 2.2922E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 7.4100E-03 7.4000E-04        NAN        NAN
 2.3288E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 4.1000E-04 4.2000E-04        NAN        NAN
 2.3636E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 1.1790E-02 1.2300E-03        NAN        NAN
 2.3874E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 7.2300E-02 9.2300E-03        NAN        NAN
 2.4092E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.7940E-02 1.3800E-03        NAN        NAN
 2.4896E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 2.8570E-02 2.3100E-03        NAN        NAN
 2.5968E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.8300E-03 5.0000E-04        NAN        NAN
 2.6464E-04        NAN        3.0        0.0        NAN        NAN 8.0100E-02 2.3000E-02 7.7200E-02 2.1900E-02        NAN        NAN
 2.6774E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 3.8420E-02 3.9300E-03        NAN        NAN
 2.7236E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 4.0420E-02 4.4100E-03        NAN        NAN
 2.7332E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 2.1460E-02 3.5600E-03        NAN        NAN
 2.8489E-04        NAN        3.0        0.0        NAN        NAN 8.7300E-02 1.4400E-02 1.4800E-01 4.3000E-02        NAN        NAN
 2.8813E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 9.1100E-03 9.5000E-04        NAN        NAN
 2.9450E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 4.7600E-03 8.2000E-04        NAN        NAN
 2.9870E-04        NAN        4.0        0.0        NAN        NAN        NAN        NAN 1.0762E-01 2.8260E-02        NAN        NAN
 2.9974E-04        NAN        3.0        0.0        NAN        NAN        NAN        NAN 1.0580E-02 1.4300E-03        NAN        NAN
